SCHL	gmajor	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	pop	meanadj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed_all	pct_ts	pct_tsg	p50r	p25r	p75r	pct_ts_all	pct_tsg_all
	Health	Pharmacy and pharmaceutical sciences and administration	3	12132	111188.8766	76091.31114	133828.3358	1225811	116768.8108	0.550881824	0.528516425	0.975886375	0.005408525	0.073529251	111000	76000	134000	0.005078782	0.068435051
	Health	Treatment therapy professions	3	16140	66133.21482	44191.21147	88070.39729	1644335	74666.77552	0.422847534	0.396457732	0.98237262	0.007255137	0.098634065	66000	44000	88000	0.007531814	0.101488915
	Health	Miscellaneous health medical professions	3	25025	59011.1763	40697.36297	83621.61827	2584136	71262.82179	0.354078501	0.334486827	0.967496961	0.011401729	0.155007244	59000	41000	84000	0.011826483	0.159358269
	Humanities and liberal arts	Area ethnic and civilization studies	3	6777	59011.1763	37562.52975	97673.67112	658482	82834.86914	0.493053721	0.466882477	0.950271017	0.002905355	0.033246344	59000	38000	98000	0.003233016	0.033976034
	Humanities and liberal arts	Linguistics and comparative language and literature	3	3631	53742.0876	33143.4086	83666.87743	381414	69394.71221	0.492572375	0.458711234	0.940120885	0.001682875	0.019257354	54000	33000	84000	0.002091055	0.021975076
	Humanities and liberal arts	"French, german, latin and other common foreign language studies"	3	12470	56069.77691	38047.34862	86481.8963	1222845	73900.49139	0.49649465	0.468228747	0.958163943	0.005395439	0.061740678	56000	38000	86000	0.006235295	0.065527242
	Humanities and liberal arts	Other foreign languages	3	3071	56069.77691	34784.59938	89487.20322	301564	78253.45962	0.482202783	0.442502175	0.949925469	0.001330561	0.015225777	56000	35000	89000	0.001621927	0.017044971
	Humanities and liberal arts	English language and literature	3	57808	56069.77691	37165.16367	87751.0809	5762702	75700.81651	0.453220382	0.433353581	0.95325931	0.025426202	0.290955213	56000	37000	88000	0.028500224	0.299511264
	Humanities and liberal arts	Composition and speech	3	3019	47337.83855	31939.74792	73255.25334	304846	61280.92811	0.315372352	0.311444411	0.938848231	0.001345042	0.015391484	47000	32000	73000	0.001505985	0.015826526
	Humanities and liberal arts	Liberal arts	3	26702	54350.93653	35043.61057	82589.25261	2837108	70295.12123	0.262927601	0.255184242	0.949474052	0.012517892	0.143243805	54000	35000	83000	0.013802254	0.145049058
	Humanities and liberal arts	Humanities	3	2211	53581.8439	33143.4086	82102.17333	218729	69603.67504	0.376945901	0.346457781	0.930119893	0.000965076	0.01104349	54000	33000	82000	0.001135083	0.011928678
	Humanities and liberal arts	Multi/interdisciplinary studies	3	2563	48263.63163	35610.1926	64098.34667	239067	56227.14931	0.282544224	0.266233331	0.950993742	0.001054812	0.012070343	48000	36000	64000	0.001121816	0.01178926
	Humanities and liberal arts	Intercultural and international studies	3	3418	55849.62045	36329.03888	88070.39729	344368	77891.24139	0.440157041	0.417369411	0.946756651	0.001519421	0.017386925	56000	36000	88000	0.001686607	0.017724693
	Humanities and liberal arts	Philosophy and religious studies	3	14436	55958.87408	33778.81126	91569.06668	1424523	80682.98171	0.556539277	0.525421661	0.95231658	0.006285282	0.071923274	56000	34000	92000	0.00658181	0.069168797
	Humanities and liberal arts	Theology and religious vocations	3	13746	44035.19865	29173.3191	64079.74504	1299459	53147.74472	0.419099795	0.397728947	0.966856923	0.005733475	0.065608871	44000	29000	64000	0.005831054	0.061279034
	Humanities and liberal arts	Art history and criticism	3	4447	51634.55475	33026.39899	82193.78103	440836	72806.70124	0.415217904	0.392492155	0.946695479	0.001945057	0.022257533	52000	33000	82000	0.002351674	0.024713939
	Humanities and liberal arts	History	3	44420	61941.93946	38667.31003	100180.0769	4370205	88423.41454	0.47760414	0.456811605	0.956060831	0.019282225	0.220648912	62000	39000	100000	0.019457968	0.204485429
	"Industrial arts, consumer services, and recreation"	Family and consumer sciences	3	15514	46471.09928	32139.87592	67391.59748	1507866	55731.10354	0.302664826	0.278045712	0.961642913	0.006653009	0.293255763	46000	32000	67000	0.008112493	0.345228667
	"Industrial arts, consumer services, and recreation"	Military technologies	3	187	80099.6813	40697.36297	108398.3941	21392	104429.7719	0.417539267	0.401719219	0.958223022	9.43858E-05	0.004160401	80000	41000	108000	8.46451E-05	0.003602086
	"Industrial arts, consumer services, and recreation"	"Physical fitness, parks, recreation, and leisure"	3	20444	50062.30081	34784.59938	72265.59603	2118328	61293.41075	0.301161577	0.289665635	0.967429408	0.00934649	0.411980835	50000	35000	72000	0.009305051	0.395978193
	"Industrial arts, consumer services, and recreation"	Miscellaneous industrial arts and consumer services	3	7297	61046.04445	38197.52933	91569.06668	799207	74049.8774	0.107198761	0.11511764	0.95495638	0.003526262	0.155432949	61000	38000	92000	0.003231454	0.137515112
	"Industrial arts, consumer services, and recreation"	Transportation sciences and technologies	3	6728	77061.59763	47310.68445	110087.9966	695019	88582.6996	0.177098756	0.173804212	0.967279962	0.003066564	0.135170053	77000	47000	110000	0.002765255	0.117675942
	Law and public policy	Pre-law and legal studies	3	3898	55068.53089	36881.82482	86481.8963	437940	74176.44343	0.340811527	0.315835705	0.942254846	0.00193228	0.079106159	55000	37000	86000	0.001938783	0.085563642
	Law and public policy	Criminal justice and fire protection	3	42784	55747.74551	38047.34862	82589.25261	4580165	66645.38472	0.211391948	0.209949488	0.958959022	0.020208611	0.827326252	56000	38000	83000	0.018514525	0.817095344
	Law and public policy	Public administration	3	3646	66286.8172	43480.74922	100124.6016	384335	81514.88199	0.469827104	0.453701152	0.947706418	0.001695763	0.069423358	66000	43000	100000	0.001616207	0.071327511
	Law and public policy	Public policy	3	1411	76094.69724	48836.83556	120149.522	133665	108026.8356	0.578909962	0.559316172	0.94754545	0.000589757	0.024144231	76000	49000	120000	0.000589439	0.026013504
	Physical sciences	Multidisciplinary or general science	3	20348	64279.75184	40697.36297	101092.7419	2432616	86191.54857	0.336011109	0.324419167	0.962263765	0.010733192	0.327795416	64000	41000	101000	0.010568417	0.335482251
	Physical sciences	Physical sciences	3	558	66286.8172	40697.36297	108701.8731	55736	84978.88174	0.410488733	0.415323325	0.961405547	0.000245919	0.007510435	66000	41000	109000	0.000237749	0.007547064
	Physical sciences	Astronomy and astrophysics	3	409	84301.31388	52906.57186	128559.5037	40475	108431.2366	0.654008647	0.62392792	0.956176032	0.000178584	0.005454013	84000	53000	129000	0.000173697	0.005513799
	Physical sciences	Atmospheric sciences and meteorology	3	1145	73255.25334	45784.53334	106333.6627	113138	82745.96029	0.445765349	0.448641503	0.971593364	0.000499188	0.015245365	73000	46000	106000	0.000441297	0.014008452
